field,main_area,operator,tier,provenance,api_gravity,sulfur_pct,vacuum_resid_pct,ccr_pct,vanadium_ppm,nickel_ppm,middle_distillate_pct
HANZ,North sea,Aker BP ASA,3_MEDIAN+DST,"median:North sea(40 grades,område)+API:Sodir-DST",36.785950000000014,0.249441048544377,9.47536168226264,1.33838521711888,1.74860502049344,1.00202473443379,39.56219896972246
HUGIN SATELLITTER,North sea,Aker BP ASA,3_MEDIAN+DST,"median:North sea(40 grades,område)+API:Sodir-DST",39.84569454545456,0.249441048544377,9.47536168226264,1.33838521711888,1.74860502049344,1.00202473443379,39.56219896972246
HULDRA,North sea,Equinor Energy AS,3_MEDIAN+DST,"median:North sea(40 grades,område)+API:Sodir-DST",43.667531598512994,0.249441048544377,9.47536168226264,1.33838521711888,1.74860502049344,1.00202473443379,39.56219896972246
IDUN NORD (BONUS - SKARV SATELLITE),Unknown,,3_MEDIAN+DST,"median:Unknown(50 grades,NCS)+API:Sodir-DST",50.0,0.211019881476799,9.47536168226264,1.315578927633555,1.6278343315846,1.03700875608498,40.498496911447944
JOHAN SVERDRUP (BONUS - PARTNER-OPERATED),Unknown,,3_MEDIAN+DST,"median:Unknown(50 grades,NCS)+API:Sodir-DST",28.0,0.211019881476799,9.47536168226264,1.315578927633555,1.6278343315846,1.03700875608498,40.498496911447944
KRAFLA,Unknown,,3_MEDIAN+DST,"median:Unknown(50 grades,NCS)+API:Sodir-DST",38.0,0.211019881476799,9.47536168226264,1.315578927633555,1.6278343315846,1.03700875608498,40.498496911447944
KRISTIN,Norwegian sea,Equinor Energy AS,3_MEDIAN+DST,"median:Norwegian sea(9 grades,område)+API:Sodir-DST",46.31156981132074,0.173762395630177,8.05150046202256,1.0125261514852,0.514814556054689,1.4130265807347,45.44239814855472
MIKKEL,Norwegian sea,Equinor Energy AS,3_MEDIAN+DST,"median:Norwegian sea(9 grades,område)+API:Sodir-DST",56.478986702127656,0.173762395630177,8.05150046202256,1.0125261514852,0.514814556054689,1.4130265807347,45.44239814855472
MIME,North sea,,3_MEDIAN+DST,"median:North sea(40 grades,område)+API:Sodir-DST",39.224876811594214,0.249441048544377,9.47536168226264,1.33838521711888,1.74860502049344,1.00202473443379,39.56219896972246
MUNIN,North sea,Aker BP ASA,3_MEDIAN+DST,"median:North sea(40 grades,område)+API:Sodir-DST",38.0,0.249441048544377,9.47536168226264,1.33838521711888,1.74860502049344,1.00202473443379,39.56219896972246
ODA (BONUS - PARTNER-OPERATED),Unknown,,3_MEDIAN+DST,"median:Unknown(50 grades,NCS)+API:Sodir-DST",40.0,0.211019881476799,9.47536168226264,1.315578927633555,1.6278343315846,1.03700875608498,40.498496911447944
OSELVAR,North sea,,3_MEDIAN+DST,"median:North sea(40 grades,område)+API:Sodir-DST",47.43695949367088,0.249441048544377,9.47536168226264,1.33838521711888,1.74860502049344,1.00202473443379,39.56219896972246
SIGYN,North sea,Equinor Energy AS,3_MEDIAN+DST,"median:North sea(40 grades,område)+API:Sodir-DST",59.52729459459459,0.249441048544377,9.47536168226264,1.33838521711888,1.74860502049344,1.00202473443379,39.56219896972246
SKIRNE,North sea,,3_MEDIAN+DST,"median:North sea(40 grades,område)+API:Sodir-DST",49.850254013157894,0.249441048544377,9.47536168226264,1.33838521711888,1.74860502049344,1.00202473443379,39.56219896972246
SLEIPNER VEST,North sea,Equinor Energy AS,3_MEDIAN+DST,"median:North sea(40 grades,område)+API:Sodir-DST",46.872560591730675,0.249441048544377,9.47536168226264,1.33838521711888,1.74860502049344,1.00202473443379,39.56219896972246
SLEIPNER ØST,North sea,Equinor Energy AS,3_MEDIAN+DST,"median:North sea(40 grades,område)+API:Sodir-DST",56.980264000000005,0.249441048544377,9.47536168226264,1.33838521711888,1.74860502049344,1.00202473443379,39.56219896972246
SYMRA,North sea,Aker BP ASA,3_MEDIAN+DST,"median:North sea(40 grades,område)+API:Sodir-DST",34.027163934426255,0.249441048544377,9.47536168226264,1.33838521711888,1.74860502049344,1.00202473443379,39.56219896972246
TOMMELITEN A,North sea,ConocoPhillips Skandinavia AS,3_MEDIAN+DST,"median:North sea(40 grades,område)+API:Sodir-DST",41.31197799511003,0.249441048544377,9.47536168226264,1.33838521711888,1.74860502049344,1.00202473443379,39.56219896972246
TOMMELITEN GAMMA,North sea,ConocoPhillips Skandinavia AS,3_MEDIAN+DST,"median:North sea(40 grades,område)+API:Sodir-DST",46.429179371366104,0.249441048544377,9.47536168226264,1.33838521711888,1.74860502049344,1.00202473443379,39.56219896972246
