field,grade,api_gravity,sulfur_pct,viscosity_cp,mobility_ratio,density_sg,D_annual,oil_mean,main_area,wc_k,wc_t50,wc_r2,wc_final
SKULD,Norne,33.9955719154872,0.173762395630177,2.040955403502737,5.831301152864963,0.855007770674729,0.3196723171540737,0.0371805555555555,Norwegian sea,0.028968657188842645,59.56524776497066,0.9009851766179336,0.7914201183431953
SNORRE,Statfjord,39.2677387701335,0.249441048544377,1.3868949254992473,3.9625569299978496,0.828610843119905,0.0367143290649612,0.6338891538461539,North sea,0.008063106236267771,231.0660471981113,0.7187763662860063,0.6913030341426329
STATFJORD,Statfjord,39.2677387701335,0.249441048544377,1.3868949254992473,3.9625569299978496,0.828610843119905,0.1329891977418907,1.0610380847145489,North sea,0.1782577070418006,245.05844835215348,0.9645583502855604,0.96018442371962
STATFJORD NORD,Statfjord,39.2677387701335,0.249441048544377,1.3868949254992473,3.9625569299978496,0.828610843119905,0.0881495688256354,0.1121530571428571,North sea,0.02794959810449423,103.57451448014328,0.8590511339926189,0.929882236382878
STATFJORD ØST,Statfjord,39.2677387701335,0.249441048544377,1.3868949254992473,3.9625569299978496,0.828610843119905,0.1137940192582094,0.0996174104683195,North sea,0.017628662687300047,115.14950412608418,0.723585356753183,0.7485261014042234
SYGNA,Statfjord,39.2677387701335,0.249441048544377,1.3868949254992473,3.9625569299978496,0.828610843119905,0.1099382035350818,0.0347581853281853,North sea,0.03542807463244255,45.32074322986691,0.6734291977419342,0.9693526529761284
TAMBAR,Ekofisk,38.8888505112461,0.207184367217011,1.4241579568643985,4.069022733898282,0.8304533986550995,0.0957715379855949,0.0390126373626373,North sea,0.009861217400505443,443.5120325631652,0.4122080755759976,0.1210101718695194
TORDIS,Statfjord,39.2677387701335,0.249441048544377,1.3868949254992473,3.9625569299978496,0.828610843119905,0.0637109187751146,0.1798660281690141,North sea,0.013603740442289736,165.591875193135,0.8247747835804597,0.854027402455791
TROLL,Troll,38.765436257241,0.130936656687094,1.4365652376001354,4.1044721074289585,0.8310553398883523,0.0862737766567743,0.699843119047619,North sea,0.013301614454471006,193.3454413099907,0.8319278991952561,0.9326089994410286
ULA,Ekofisk,38.8888505112461,0.207184367217011,1.4241579568643985,4.069022733898282,0.8304533986550995,0.0831187746803669,0.1590639824945295,North sea,0.014858866920723445,210.25906944321778,0.7662529604991694,0.934326637399672
URD,Norne,33.9955719154872,0.173762395630177,2.040955403502737,5.831301152864963,0.855007770674729,0.0746106274223804,0.0275869406392694,Norwegian sea,0.006775856273878824,14.605389746437572,0.5199601209145028,0.715291596510026
VALEMON,Gullfaks,39.2636091110806,0.211019881476799,1.3872944589154632,3.963698454044181,0.8286308818171861,0.2313842542302077,0.0141136666666666,North sea,0.00963158065475962,145.1562916175013,0.31722245199862853,0.4875827814569536
VALHALL,Ekofisk,38.8888505112461,0.207184367217011,1.4241579568643985,4.069022733898282,0.8304533986550995,0.0382212921985169,0.2658777911646586,North sea,0.007400254620456123,577.642715166174,0.8503328478914338,0.3819520601597995
VIGDIS,Statfjord,39.2677387701335,0.249441048544377,1.3868949254992473,3.9625569299978496,0.828610843119905,0.063928200486713,0.2039895166163141,North sea,0.010505088910205546,147.89386038213712,0.8447937985595436,0.7871675646419171
VILJE,Alvheim,34.5440158378669,0.40211278459505,1.9568328188695139,5.590950911055755,0.8521836772375294,0.2219907979674321,0.0634206666666666,North sea,0.028470951783004357,94.05787104848541,0.9278384207200076,0.8780962261704058
VISUND,Gullfaks,39.2636091110806,0.211019881476799,1.3872944589154632,3.963698454044181,0.8286308818171861,0.0483176955831527,0.1273881879194631,North sea,0.00831918709555949,233.93859343079538,0.5970834096005682,0.3884659746251442
VOLUND,Alvheim,34.5440158378669,0.40211278459505,1.9568328188695139,5.590950911055755,0.8521836772375294,0.2433928137916878,0.0651687640449438,North sea,0.02348477177784731,95.50529765463773,0.707675483561488,0.841799709724238
ÅSGARD,Asgard,47.5080455323182,0.203404583226431,0.8088153787473633,2.3109010821353237,0.7904672640786613,0.0874769229939294,0.3237332362459547,Norwegian sea,0.00499138619103807,509.7814661707122,0.5241209775542013,0.1301315265045835
