field,exp_qi,exp_Di,exp_b,exp_r2_fit,exp_mae_forecast,exp_mape_forecast,exp_bias_forecast,exp_rmse_forecast,hyp_qi,hyp_Di,hyp_b,hyp_r2_fit,hyp_mae_forecast,hyp_mape_forecast,hyp_bias_forecast,hyp_rmse_forecast,harm_qi,harm_Di,harm_b,harm_r2_fit,harm_mae_forecast,harm_mape_forecast,harm_bias_forecast,harm_rmse_forecast,best_model,best_r2_fit,best_mape,best_rmse,best_bias,best_Di,best_b,api_gravity,sulfur_pct,pour_point_c,vacuum_resid_pct,oil_mean,main_area,D_annual,field_age_mean,grade
STATFJORD NORD,91.12662249309777,0.01047975222993599,0.0,0.7386355135090347,5.271103146193888,72.75977663052906,-2.8826658906833713,5.6973424906782535,91.18034087113456,0.010540033223116765,0.01000000000000336,0.7376277126573422,5.202368021528243,72.46138699207613,-2.7579843617396,5.633863475647454,95.4471938129217,0.018782290375009697,1.0,0.6370790205865722,7.186250971447035,128.62850341519712,7.12801037038766,8.413692469606397,exp,0.7386355135090347,72.75977663052906,5.6973424906782535,-2.8826658906833713,0.01047975222993599,0.0,39.2677387701335,0.249441048544377,1.51651262516177,9.47536168226264,0.1121530571428571,North sea,0.0881495688256354,33.56285714285714,Statfjord
STATFJORD ØST,53.51798944361047,0.008348666758071869,0.0,0.6386807429080943,3.644910844128146,88.22206316990953,2.2512688529585243,4.1096611300342465,53.517989443596534,0.008380451710653552,0.010000000003303833,0.6381409828976607,3.702379426082616,90.02265688786748,2.3385001312020566,4.153212126665854,53.51798944361045,0.011863354265399789,1.0,0.5788339898055866,8.9547153488327,238.57909616411789,8.917486023153455,9.388325862121816,exp,0.6386807429080943,88.22206316990953,4.1096611300342465,2.2512688529585243,0.008348666758071869,0.0,39.2677387701335,0.249441048544377,1.51651262516177,9.47536168226264,0.0996174104683195,North sea,0.1137940192582094,34.39944903581267,Statfjord
SYGNA,90.5559583479828,0.026874642634892608,0.0,0.9142668345475919,4.83737339544819,89.97007387101841,-4.826479678730937,5.522948209820465,90.72439340933849,0.027108770587155582,0.010000000000134816,0.9138576018896597,4.80120432612104,89.23671624977338,-4.7890712873260926,5.487963313146963,106.7768521127119,0.06882941682063533,1.0,0.8260255856047396,2.4862340435094286,78.26585817178999,1.616286139014665,3.009628647706807,exp,0.9142668345475919,89.97007387101841,5.522948209820465,-4.826479678730937,0.026874642634892608,0.0,39.2677387701335,0.249441048544377,1.51651262516177,9.47536168226264,0.0347581853281853,North sea,0.1099382035350818,17.328185328185327,Statfjord
TAMBAR,95.8040451041609,0.01665414478874354,0.0,0.904150762361328,9.000068936563725,68.96185663338201,-8.66574051021256,11.485970293559237,95.91488098831964,0.016769119391791005,0.010000000000077629,0.903712893506056,8.905009079883731,68.11071363699084,-8.560645969582886,11.408632556639029,106.06772358707902,0.03430892115495911,1.0,0.8350137667498583,5.559329183548518,81.5618750119996,0.9206767061059111,7.587471347905015,exp,0.904150762361328,68.96185663338201,11.485970293559237,-8.66574051021256,0.01665414478874354,0.0,38.8888505112461,0.207184367217011,-3.0,12.2005750162672,0.0390126373626373,North sea,0.0957715379855949,30.9010989010989,Ekofisk
TORDIS,97.38985897205943,0.01573811741487141,0.0,0.8441649212358902,12.949351087040892,75.0956086014895,-12.632916142141166,14.570574813275156,97.4959980374929,0.01584275990221169,0.010000000000106759,0.8436807494360378,12.851184557104144,74.56224805736792,-12.521408056371339,14.474195680510242,106.05692859858124,0.030671673817500297,1.0,0.7714107863636408,5.739444059361795,41.25716890486187,-2.3903395769620537,7.460208714310151,exp,0.8441649212358902,75.0956086014895,14.570574813275156,-12.632916142141166,0.01573811741487141,0.0,39.2677387701335,0.249441048544377,1.51651262516177,9.47536168226264,0.1798660281690141,North sea,0.0637109187751146,23.295774647887324,Statfjord
TROLL,81.88148596205986,0.012664618349373257,0.0,0.8603849578719902,12.992694986825482,60.17685502170965,-12.979529042963799,14.390365430508513,100.054993176719,0.03741633318581703,1.427485062684149,0.9317927352235534,6.615533829620223,45.84152584115947,-2.513495964156817,7.467241345748803,94.6714083432336,0.026582647243534853,1.0,0.925580856595564,7.537083776047816,41.382625231003175,-5.254042420336769,8.603470299919689,hyp,0.9317927352235534,45.84152584115947,7.467241345748803,-2.513495964156817,0.03741633318581703,1.427485062684149,38.765436257241,0.130936656687094,-12.0,7.17051168368127,0.699843119047619,North sea,0.0862737766567743,29.159523809523808,Troll
ULA,77.59501932529342,0.0177110223048557,0.0,0.8494083106395889,4.37122380788127,92.30651539235272,-4.37122380788127,4.664967546213124,104.1186478080724,0.05250336837912504,0.908136604769892,0.9426194348047165,1.0720949087740541,28.578398035521463,0.24919677792717465,1.363435325169734,106.71467972196804,0.05902642770717019,1.0,0.9417808479029425,1.28470631228659,36.68156766685352,0.7843201905440128,1.5478461094042035,hyp,0.9426194348047165,28.578398035521463,1.363435325169734,0.24919677792717465,0.05250336837912504,0.908136604769892,38.8888505112461,0.207184367217011,-3.0,12.2005750162672,0.1590639824945295,North sea,0.0831187746803669,30.446389496717725,Ekofisk
URD,58.994452916527784,0.019826196663284598,0.0,0.5212275520287171,12.251719307215396,75.65778877230113,-11.99816982316861,14.353382700943778,117.26015303291294,0.2880651220205564,1.9999999999999996,0.7130017670449365,6.0161399403069975,48.62810528999504,-3.4793970360754343,8.623835903280245,75.80373717779044,0.05410792357723127,1.0,0.6098737060833375,8.19952079085172,51.02958088656663,-7.448407135462467,10.804192177361688,hyp,0.7130017670449365,48.62810528999504,8.623835903280245,-3.4793970360754343,0.2880651220205564,1.9999999999999996,33.9955719154872,0.173762395630177,15.0,8.05150046202256,0.0275869406392694,Norwegian sea,0.0746106274223804,16.009132420091323,Norne
VALHALL,96.57566299582952,0.005246034583103353,0.0,0.6012899837043924,12.226005516685289,36.00861037647939,-10.492096294914068,14.066558780972462,96.59079381158247,0.00526200890539612,0.010000000000000548,0.6007563076803759,12.12269221084376,35.76273852474791,-10.369907549967898,13.963260733357052,97.98869076819193,0.007149380226500047,1.0,0.5505654215196807,6.494527214766903,23.69360345961,-1.4565694676872796,8.454678757136776,exp,0.6012899837043924,36.00861037647939,14.066558780972462,-10.492096294914068,0.005246034583103353,0.0,38.8888505112461,0.207184367217011,-3.0,12.2005750162672,0.2658777911646586,North sea,0.0382212921985169,29.333333333333332,Ekofisk
VIGDIS,76.84405207545431,0.004471511565394766,0.0,0.3951099750013336,5.360758900090433,41.50994234782397,3.4533443961461563,6.897746055894835,76.86596124981897,0.004485816876470885,0.010000000000000094,0.3949900580828283,5.399489820972273,41.806161783992046,3.5244368722473487,6.9364374101837765,79.44483233209105,0.006357809324170968,1.0,0.3851293610648482,9.289733200973673,67.7437215495725,8.762069349641322,10.861671367320882,exp,0.3951099750013336,41.50994234782397,6.897746055894835,3.4533443961461563,0.004471511565394766,0.0,39.2677387701335,0.249441048544377,1.51651262516177,9.47536168226264,0.2039895166163141,North sea,0.063928200486713,25.637462235649547,Statfjord
VISUND,62.7163628888558,0.006054384441934552,0.0,0.3632243251510854,17.013871578679918,47.45248290446193,-15.51865720340904,22.151578235901056,62.73460307159222,0.006074704408333706,0.010000000000369417,0.36307775417498245,16.968993810513155,47.3982965302627,-15.445813033613149,22.108888308943794,64.7645391600663,0.00869093174832253,1.0,0.3497665375081993,15.214850345352923,54.31853893263167,-10.149542468439178,19.470020194626784,exp,0.3632243251510854,47.45248290446193,22.151578235901056,-15.51865720340904,0.006054384441934552,0.0,39.2636091110806,0.211019881476799,-14.3598584609337,9.12833245275655,0.1273881879194631,North sea,0.0483176955831527,26.90268456375839,Gullfaks
ÅSGARD,79.03690152540877,0.00450841589847311,0.0,0.4329105598018109,10.606986012151607,83.7946869342225,10.302301314028885,11.611880700186287,85.7385613802533,0.00964978390770121,1.999999999998931,0.4540759295696877,17.966718509940737,137.66952688837858,17.966718509940737,19.004345156923936,82.03456652615381,0.006381147197457334,1.0,0.44356552341799993,14.848043788667905,115.58101903915663,14.848043788667905,15.91845948851049,hyp,0.4540759295696877,137.66952688837858,19.004345156923936,17.966718509940737,0.00964978390770121,1.999999999998931,47.5080455323182,0.203404583226431,-31.3901037630523,4.56725838759823,0.3237332362459547,Norwegian sea,0.0874769229939294,31.789644012944983,Asgard
