field,grade,is_direct_assay,n_months,decline_mean,decline_median,decline_std,decline_p25,decline_p75,oil_mean,gor_mean,water_cut_mean,field_age_mean,first_year,last_year,api_gravity,sulfur_pct,pour_point_c,vacuum_resid_pct,naphtha_pct,middle_distillate_pct,bottom_of_barrel_pct,ccr_pct,vanadium_ppm,nickel_ppm,nitrogen_ppm,viscosity_cst_40c,tan_mgkoh,wax_pct,main_area,discovery_year,D_monthly,D_annual,D_r2,n_post_peak,half_life_months
OSEBERG ØST,Oseberg,False,307,0.06037012317154457,-0.01756837692154134,0.44275272247780056,-0.15845920095997595,0.1567740519983911,0.07322918566775244,0.02062749273950283,0.708929371458041,31.71986970684039,2000,2026,39.9434656421417,0.189810897966947,-18.0,8.32821784897739,25.34171573550684,42.91410169649291,28.3764639162822,1.26116051024895,0.884546002984465,1.07199277773617,720.311705756422,2.69254771710991,0.0900000035762787,5.49988944812762,North sea,1981,0.006089922172530591,0.07307906607036709,0.4010638573865315,291.0,113.81872558018532
SKARV,Skarv,True,144,0.030532158039071652,-0.01123901232347652,0.375441873856631,-0.08830347601676143,0.06053498502034043,0.13780916666666665,3.728222084228523,0.1048580405574195,21.59722222222222,2014,2026,50.8043095440118,0.0641524144208956,-36.0,1.75244463606187,42.45013006474462,46.71379168035491,8.29172831352849,0.244097827507834,0.504163746301246,0.171384269186692,109.503867356413,1.13130605323118,0.0299999993294477,2.97059191382059,Norwegian sea,1998,0.008895165600987036,0.10674198721184444,0.5896250307864122,140.0,77.92403330670217
SKOGUL,Alvheim,False,59,0.032722778872640135,-0.041189931350114325,0.47559328275332957,-0.08670129636442012,0.013141890675314344,0.017887457627118644,0.062050208065783846,0.7037702066757088,13.203389830508474,2021,2026,34.5440158378669,0.40211278459505,-39.0,8.72113464992648,19.39621897341145,44.78554795670213,34.521202266508084,1.122477243191,2.76486143587745,0.804090641358182,747.235115370179,4.31361173727147,0.430000007152557,6.93596804107413,North sea,2010,0.020622278734779956,0.2474673448173595,0.7674956162410163,55.0,33.61157074222532
SKULD,Norne,False,108,0.01277516398080049,-0.019416867056713978,0.35830539278405327,-0.13862037781065975,0.06790493908659904,0.03718055555555556,0.025480265207941406,0.5408204501312945,10.351851851851851,2014,2025,33.9955719154872,0.173762395630177,15.0,8.05150046202256,10.47441884008746,45.44239814855472,43.15645552032174,1.0125261514852,0.514814556054689,1.4130265807347,300.386894111234,6.64944425362657,0.0900000035762787,8.20119803208561,Norwegian sea,2008,0.02663935976283948,0.31967231715407374,0.9407031689747234,99.0,26.019663637969614
SNORRE,Statfjord,False,390,0.04857362738402601,-0.011550139815390097,0.39192887611441135,-0.09716002947509716,0.09578694474214748,0.6338891538461539,0.02569747471226857,0.4438168535872194,30.415384615384614,1993,2026,39.2677387701335,0.249441048544377,1.51651262516177,9.47536168226264,24.12567940310276,40.498496911447944,31.680919217903252,1.33838521711888,1.6278343315846,0.98808960819825,757.38921571985,3.09239822880271,0.0459601896971501,7.31704571949302,North sea,1979,0.003059527422080101,0.036714329064961214,0.48281130159718477,277.0,226.55367477918884
SOLVEIG,Grane,False,41,0.08034552975248635,0.009684210526315833,0.5062446161287655,-0.0802706923477355,0.10093869509792554,0.08627365853658536,0.15898446175956304,0.07153485846672145,10.951219512195122,2022,2026,27.1149865857435,0.66784513617451,0.0,19.0037543623531,11.76570998444963,38.192842737989885,47.925515066086575,3.2658749807797,11.0720274438829,3.5232091027351,1949.94386993433,13.7372014832226,1.10000002384186,7.10112377835507,North sea,2013,,,,3.0,
STATFJORD,Statfjord,True,543,0.01692777745808212,-0.0023094688221707792,0.2143327191763264,-0.08042506234900237,0.08947281328560538,1.0610380847145489,0.5445453480402277,0.522887465285439,29.042357274401475,1980,2026,39.2677387701335,0.249441048544377,1.51651262516177,9.47536168226264,24.12567940310276,40.498496911447944,31.680919217903252,1.33838521711888,1.6278343315846,0.98808960819825,757.38921571985,3.09239822880271,0.0459601896971501,7.31704571949302,North sea,1974,0.011082433145157564,0.13298919774189077,0.9487919338804567,405.0,62.54467511611508
STATFJORD NORD,Statfjord,False,350,0.08311921624871828,-0.009673719403825816,0.5722122304844653,-0.0888521848891431,0.08371667149995424,0.11215305714285713,0.06803334263636743,0.6717087567207547,33.56285714285714,1996,2026,39.2677387701335,0.249441048544377,1.51651262516177,9.47536168226264,24.12567940310276,40.498496911447944,31.680919217903252,1.33838521711888,1.6278343315846,0.98808960819825,757.38921571985,3.09239822880271,0.0459601896971501,7.31704571949302,North sea,1977,0.0073457974021362855,0.08814956882563543,0.649291936143475,330.0,94.35969202722173
STATFJORD ØST,Statfjord,False,363,0.08637347668639805,-0.012322472848788645,0.5738307012091554,-0.1184424412205059,0.09743066566275166,0.09961741046831955,0.2151972832048553,0.6324906603466501,34.39944903581267,1995,2026,39.2677387701335,0.249441048544377,1.51651262516177,9.47536168226264,24.12567940310276,40.498496911447944,31.680919217903252,1.33838521711888,1.6278343315846,0.98808960819825,757.38921571985,3.09239822880271,0.0459601896971501,7.31704571949302,North sea,1976,0.009482834938184121,0.11379401925820945,0.7423370582049886,324.0,73.09493258908046
SYGNA,Statfjord,False,259,0.08896961627953524,-0.013483146067415649,0.6022686443052501,-0.10743359893675379,0.09061408367721807,0.03475818532818532,0.0,0.7830792874404988,17.328185328185327,2001,2026,39.2677387701335,0.249441048544377,1.51651262516177,9.47536168226264,24.12567940310276,40.498496911447944,31.680919217903252,1.33838521711888,1.6278343315846,0.98808960819825,757.38921571985,3.09239822880271,0.0459601896971501,7.31704571949302,North sea,1996,0.009161516961256817,0.1099382035350818,0.46599346816086507,249.0,75.658559984247
