year,hub_low_p50_kboed,hub_base_p10_kboed,hub_base_p50_kboed,hub_base_p90_kboed,hub_high_p50_kboed,agg_p10_kboed,agg_p50_kboed,agg_p90_kboed
2030.4166666666667,92.62171620042321,126.82975368001509,147.02326355410045,168.17634305864408,189.033695032124,165.93272664366768,186.99183729885897,218.75488603547558
2030.5,89.72655698083778,124.87743654377391,144.93504200364333,166.7864226886897,189.07016580418124,161.57466794784483,182.2161791290786,213.3642027262976
2030.5833333333333,87.00487654526982,122.88337687742813,142.59628250294503,165.4416726886975,189.0050003571547,156.9082463832394,177.19680943742364,207.61435227317406
2030.6666666666667,84.3495248630506,120.50256772527675,140.07782305107384,163.07484742744197,188.97273166483953,152.2475675681676,171.86832472846805,201.7641647611711
2030.75,81.76328706876636,118.73333953106204,137.13029308487452,160.4428370416586,188.63585773966304,147.83140852026685,166.74290507500174,195.9076750187838
2030.8333333333333,79.20897699454702,116.4415184277215,134.06364575052555,157.2639926213781,187.85690876991657,143.38009153799473,161.4678067504454,189.8827772622871
2030.9166666666667,76.80594239849799,114.39377913199695,131.20026067506055,153.21772207275524,187.19112210004167,139.04688653892885,156.29869155631144,183.92744557851043
2031.0,74.54766384304614,112.49747319879923,128.20738794572645,149.2342503286732,186.02833280071522,134.7824472231576,151.3235452304794,178.17743236682514
2031.0833333333333,72.26958527502984,110.56369300864404,125.17430381940828,145.07248886318146,184.71298996567754,130.79129217334835,146.50943178194444,172.53153448695056
2031.1666666666667,70.09179203282024,108.47466198606267,122.39982491636472,141.55532770081277,183.07145893619597,126.83312473523036,141.87160295354556,166.90666654171056
2031.25,68.00360151166508,106.4400777857688,119.61018372528478,137.65962964857798,181.51775857574063,122.90635277615962,137.38146659369986,161.45113691025517
2031.3333333333333,66.00671991195752,104.51307209335971,116.90277441207269,133.96090136569438,179.58865770158627,119.15176751726946,133.08681480766015,156.15813906072344
2031.4166666666667,64.09117626966639,102.55612896874203,114.1887743652605,130.3770976263419,177.20726365567972,115.46985133778763,128.8703450611724,151.09828843175674
2031.5,62.224735032392466,100.62481172833425,111.6452374870312,126.82249039532047,174.7540968096387,111.89617061516377,124.79770484472822,146.14469732646913
2031.5833333333333,60.382126910582365,98.68318340954039,109.06642395786652,123.27731110279068,172.17042846781553,108.41276585273695,120.90056726945991,141.3535042542305
2031.6666666666667,58.57974253262851,96.77109330799665,106.38807607595385,120.1287842832928,169.6762516325361,105.05300180301174,117.08251637305634,136.74772828164532
2031.75,56.8854163734749,94.79602316637131,103.90997952573022,116.98175228930879,167.12822183381138,101.77994366314094,113.43138460373666,132.2732368372193
2031.8333333333333,55.19938419824445,92.94164836957671,101.55059889058934,113.58836769258242,164.5903327939837,98.5933182936255,109.82155445712688,127.97668240906278
2031.9166666666667,53.5970140642021,91.0311205455719,99.1593237714663,110.33296074712393,161.8755665669736,95.50508445478764,106.38611960132936,123.82163654107107
2032.0,52.09758758758382,89.1580018296587,96.91660782862417,107.23120240254127,159.15910459618178,92.49642894183168,103.03499362970135,119.85518419523814
2032.0833333333333,50.57846959000304,87.32329483304414,94.66519577927491,104.29466454533527,156.47042842379187,89.58360253667333,99.82063036528059,115.95105007377474
2032.1666666666667,49.12019124060367,85.50956066550827,92.39669219844133,101.63114149310611,153.46189450753164,86.72953521838083,96.65900670829288,112.1497224991502
2032.25,47.6603489388002,83.76232530729183,90.24417474465025,98.89389670042327,150.59214100014808,83.96101432532997,93.61195340242065,108.49637455960352
2032.3333333333333,46.25534363706584,81.97018085659272,88.17394696964048,96.35334681464326,147.98060704815484,81.28523512718218,90.69335185951627,104.98128686234973
2032.4166666666667,44.97959135129038,80.28033341873817,86.17966348025489,94.02167419506256,145.5137064700125,78.69546512910938,87.85649594884609,101.64224672049457
2032.5,43.66235446774214,78.45567487649873,84.23351103173894,91.74304249974493,142.96352546998992,76.17535764825428,85.09080982599804,98.45878076975336
2032.5833333333333,42.372945525375,76.7269848763315,82.31463189442216,89.38066115601451,140.38584046005536,73.7296656359449,82.44859213499814,95.33451442537744
2032.6666666666667,41.150928937115445,75.13848653899561,80.44550017811054,87.2208032111186,138.03518386119524,71.35474790402807,79.84355028957944,92.25222673111323
2032.75,39.8807317173209,73.41389209775438,78.55731999241232,85.04044907564521,135.69043662962952,69.08464317454904,77.28925842494861,89.32696279928412
2032.8333333333333,38.68088366595985,71.70096239452725,76.77650307461245,83.09905080013519,133.21238389700602,66.87047886467933,74.8595453603347,86.51871283037936
2032.9166666666667,37.53194432253637,69.95344320322342,75.09598149355605,81.11857203572609,130.86025895815087,64.72410642273576,72.50972216382051,83.8148669428444
2033.0,36.386287700499786,68.23994717010557,73.44975077712797,79.0887877628356,128.4393343102663,62.638158951578106,70.20514156185173,81.19899914480352
2033.0833333333333,35.314964662104096,66.5244399468687,71.79791887626695,77.28891601688981,126.07602671192441,60.625669477361065,67.96517119665539,78.6448473369357
